Province,Syrians,Iraqis,Afghans,Others,NonSyrian Total,Total,PCODE,Lat,Long,AoR
ADANA,214672,1783,480,572,2835,217507,TUR001,37.39982884,35.58108307,Southeast
ADIYAMAN,29592,430,1317,67,1814,31406,TUR002,37.79339849,38.29581413,Southeast
AFYONKARAHISAR,3812,5554,5982,1770,13306,17118,TUR003,38.63405695,30.65252763,Ankara
AGRI,772,1,414,54,469,1241,TUR004,39.55947601,43.24982147,Van
AKSARAY,1963,1519,12842,1194,15555,17518,TUR068,38.44381512,33.83994012,Ankara
AMASYA,465,3374,525,127,4026,4491,TUR005,40.70913509,35.71494488,Ankara
ANKARA,90103,1115,848,625,2588,92691,TUR006,39.80131865,32.58105246,Ankara
ANTALYA,968,8,12,48,68,1036,TUR007,36.80619176,30.91798559,Izmir
ARDAHAN,106,12,47,1,60,166,TUR075,41.11741387,42.80598482,Ankara
ARTVIN,36,18,107,20,145,181,TUR008,41.12528441,41.82874061,Ankara
AYDIN,11392,1,4,17,22,11414,TUR009,37.74495801,28.00606598,Izmir
BALIKESIR,3391,3424,1344,2329,7097,10488,TUR010,39.68209631,27.87935691,Marmara
BARTIN,85,0,10,0,10,95,TUR074,41.5891349,32.52238512,Ankara
BATMAN,21418,211,166,75,452,21870,TUR072,37.96604771,41.38131323,Ankara
BAYBURT,28,64,488,36,588,616,TUR069,40.25244277,40.19157245,Ankara
BILECIK,484,2544,7047,869,10460,10944,TUR011,40.10433922,30.09867006,Marmara
BINGOL,869,0,0,1,1,870,TUR012,39.04415129,40.64797231,Ankara
BITLIS,616,0,4,2,6,622,TUR013,38.53286504,42.38664038,Van
BOLU,1776,6655,1345,972,8972,10748,TUR014,40.59683853,31.61025262,Ankara
BURDUR,8749,45,726,2614,3385,12134,TUR015,37.41606969,30.08375916,Ankara
BURSA,150063,17,22,8,47,150110,TUR016,40.11855491,29.04113229,Marmara
CANAKKALE,3042,182,3877,871,4930,7972,TUR017,40.03332843,26.75625544,Marmara
CANKIRI,403,4979,7457,1418,13854,14257,TUR018,40.68362626,33.45553029,Ankara
CORUM,2264,12377,461,357,13195,15459,TUR019,40.56718691,34.67246089,Ankara
DENIZLI,12147,335,2853,4137,7325,19472,TUR020,37.73214284,29.27460837,Ankara
DIYARBAKIR,32833,168,22,8,198,33031,TUR021,38.10542997,40.34613698,Ankara
DUZCE,1295,4346,2243,383,6972,8267,TUR081,40.87817424,31.21882264,Ankara
EDIRNE,889,4,17,34,55,944,TUR022,41.24934581,26.60643705,Marmara
ELAZIG,11580,451,1516,104,2071,13651,TUR023,38.66030374,39.3998174,Ankara
ERZINCAN,99,42,2769,81,2892,2991,TUR024,39.66404315,39.28517484,Ankara
ERZURUM,870,41,2955,153,3149,4019,TUR025,40.05771336,41.54927353,Ankara
ESKISEHIR,3131,6915,2242,2562,11719,14850,TUR026,39.59983535,31.07312431,Ankara
GAZIANTEP,387118,353,269,270,892,388010,TUR027,37.08807078,37.37221879,Southeast
GIRESUN,129,760,3924,432,5116,5245,TUR028,40.57751344,38.55881116,Ankara
GUMUSHANE,70,130,1778,223,2131,2201,TUR029,40.34682037,39.38388216,Ankara
HAKKARI,5763,6,5,0,11,5774,TUR030,37.45875075,44.06561256,Van
HATAY,443477,22,342,38,402,443879,TUR031,36.42750767,36.25414642,Southeast
IGDIR,84,23,112,14,149,233,TUR076,39.89424048,43.98377988,Ankara
ISPARTA,7159,702,2130,4549,7381,14540,TUR032,37.92458326,30.94336761,Ankara
ISTANBUL,563133,1845,268,705,2818,565951,TUR034,41.15587075,28.81410898,Marmara
IZMIR,137624,74,32,105,211,137835,TUR035,38.48331308,27.29352937,Izmir
KAHRAMANMARAS,92387,220,162,21,403,92790,TUR046,37.89088918,36.95044771,Southeast
KARABUK,578,3030,4238,529,7797,8375,TUR078,41.18609379,32.66037236,Ankara
KARAMAN,518,709,6236,418,7363,7881,TUR070,37.09043393,33.26077987,Ankara
KARS,146,3,639,11,653,799,TUR036,40.45549844,43.06272121,Ankara
KASTAMONU,1107,2204,4702,953,7859,8966,TUR037,41.48236578,33.70188909,Ankara
KAYSERI,74923,2323,2183,2113,6619,81542,TUR038,38.60813731,35.83331838,Ankara
KILIS,131302,4,0,15,19,131321,TUR079,36.80068203,37.12591002,Southeast
KIRIKKALE,1094,4049,4522,1285,9856,10950,TUR071,39.86347749,33.70723013,Ankara
KIRKLARELI,2450,1,59,9,69,2519,TUR039,41.6778707,27.44130576,Marmara
KIRSEHIR,949,5664,4325,489,10478,11427,TUR040,39.31446534,34.11934487,Ankara
KOCAELI,46686,15,53,32,100,46786,TUR041,40.84854683,29.88486802,Marmara
KONYA,97018,2169,8579,1213,11961,108979,TUR042,38.03738858,32.60166925,Ankara
KUTAHYA,627,4849,3377,1518,9744,10371,TUR043,39.29808433,29.58416794,Ankara
MALATYA,26468,22,892,33,947,27415,TUR044,38.5185676,38.12829346,Southeast
MANISA,12212,1556,2472,2212,6240,18452,TUR045,38.76215527,28.12774434,Ankara
MARDIN,92417,1755,8,6,1769,94186,TUR047,37.34308652,40.83328728,Southeast
MERSIN,209150,535,243,834,1612,210762,TUR033,36.70008202,33.84288031,Ankara
MUGLA,13439,9,3,5,17,13456,TUR048,37.00723757,28.49662472,Izmir
MUS,1266,0,24,0,24,1290,TUR049,38.99759975,41.85260422,Van
NEVSEHIR,8903,1190,7770,1722,10682,19585,TUR050,38.79173485,34.70368444,Ankara
NIGDE,3720,793,1258,749,2800,6520,TUR051,37.91080737,34.68288651,Ankara
ORDU,592,4470,522,360,5352,5944,TUR052,40.79091704,37.49372082,Ankara
OSMANIYE,50745,0,0,4,4,50749,TUR080,37.27665599,36.26031228,Southeast
RIZE,787,0,5,0,5,792,TUR053,40.93361955,40.86493584,Ankara
SAKARYA,14001,10960,4841,1058,16859,30860,TUR054,40.7438319,30.50354112,Marmara
SAMSUN,3658,15140,763,223,16126,19784,TUR055,41.21976266,35.98735602,Ankara
SANLIURFA,473952,227,35,27,289,474241,TUR063,37.24565355,39.09984286,Southeast
SIIRT,3808,23,73,11,107,3915,TUR056,37.90439988,42.12607141,Van
SINOP,104,2197,3076,340,5613,5717,TUR057,41.62525189,34.87100701,Ankara
SIRNAK,14932,42,2,4,48,14980,TUR073,37.45468648,42.51843335,Van
SIVAS,3423,289,5934,704,6927,10350,TUR058,39.55940875,37.29289077,Ankara
TEKIRDAG,10578,3,12,4,19,10597,TUR059,41.08340445,27.38611865,Marmara
TOKAT,915,2640,7848,192,10680,11595,TUR060,40.36548977,36.56323595,Ankara
TRABZON,2532,809,6892,923,8624,11156,TUR061,40.80498689,39.8174003,Ankara
TUNCELI,44,0,1,0,1,45,TUR062,39.19568094,39.49235462,Ankara
USAK,2150,1520,5413,1975,8908,11058,TUR064,38.57707151,29.36172395,Ankara
VAN,1784,173,753,1274,2200,3984,TUR065,38.47014886,43.58518501,Van
YALOVA,3313,4114,4087,2378,10579,13892,TUR077,40.59545963,29.18805974,Marmara
YOZGAT,3051,4898,1365,323,6586,9637,TUR066,39.65433484,35.24768747,Ankara
ZONGULDAK,324,2005,2796,1036,5837,6161,TUR067,41.26006286,31.8450589,Ankara
Province,Syrians,Iraqis,Afghans,Others,NonSyrian Total,Total,PCODE,Lat,Long,AoR
ADANA,214672,1783,480,572,2835,217507,TUR001,37.39982884,35.58108307,Southeast
ADIYAMAN,29592,430,1317,67,1814,31406,TUR002,37.79339849,38.29581413,Southeast
AFYONKARAHISAR,3812,5554,5982,1770,13306,17118,TUR003,38.63405695,30.65252763,Ankara
AGRI,772,1,414,54,469,1241,TUR004,39.55947601,43.24982147,Van
AKSARAY,1963,1519,12842,1194,15555,17518,TUR068,38.44381512,33.83994012,Ankara
AMASYA,465,3374,525,127,4026,4491,TUR005,40.70913509,35.71494488,Ankara
ANKARA,90103,1115,848,625,2588,92691,TUR006,39.80131865,32.58105246,Ankara
ANTALYA,968,8,12,48,68,1036,TUR007,36.80619176,30.91798559,Izmir
ARDAHAN,106,12,47,1,60,166,TUR075,41.11741387,42.80598482,Ankara
ARTVIN,36,18,107,20,145,181,TUR008,41.12528441,41.82874061,Ankara
AYDIN,11392,1,4,17,22,11414,TUR009,37.74495801,28.00606598,Izmir
BALIKESIR,3391,3424,1344,2329,7097,10488,TUR010,39.68209631,27.87935691,Marmara
BARTIN,85,0,10,0,10,95,TUR074,41.5891349,32.52238512,Ankara
BATMAN,21418,211,166,75,452,21870,TUR072,37.96604771,41.38131323,Ankara
BAYBURT,28,64,488,36,588,616,TUR069,40.25244277,40.19157245,Ankara
BILECIK,484,2544,7047,869,10460,10944,TUR011,40.10433922,30.09867006,Marmara
BINGOL,869,0,0,1,1,870,TUR012,39.04415129,40.64797231,Ankara
BITLIS,616,0,4,2,6,622,TUR013,38.53286504,42.38664038,Van
BOLU,1776,6655,1345,972,8972,10748,TUR014,40.59683853,31.61025262,Ankara
BURDUR,8749,45,726,2614,3385,12134,TUR015,37.41606969,30.08375916,Ankara
BURSA,150063,17,22,8,47,150110,TUR016,40.11855491,29.04113229,Marmara
CANAKKALE,3042,182,3877,871,4930,7972,TUR017,40.03332843,26.75625544,Marmara
CANKIRI,403,4979,7457,1418,13854,14257,TUR018,40.68362626,33.45553029,Ankara
CORUM,2264,12377,461,357,13195,15459,TUR019,40.56718691,34.67246089,Ankara
DENIZLI,12147,335,2853,4137,7325,19472,TUR020,37.73214284,29.27460837,Ankara
DIYARBAKIR,32833,168,22,8,198,33031,TUR021,38.10542997,40.34613698,Ankara
DUZCE,1295,4346,2243,383,6972,8267,TUR081,40.87817424,31.21882264,Ankara
EDIRNE,889,4,17,34,55,944,TUR022,41.24934581,26.60643705,Marmara
ELAZIG,11580,451,1516,104,2071,13651,TUR023,38.66030374,39.3998174,Ankara
ERZINCAN,99,42,2769,81,2892,2991,TUR024,39.66404315,39.28517484,Ankara
ERZURUM,870,41,2955,153,3149,4019,TUR025,40.05771336,41.54927353,Ankara
ESKISEHIR,3131,6915,2242,2562,11719,14850,TUR026,39.59983535,31.07312431,Ankara
GAZIANTEP,387118,353,269,270,892,388010,TUR027,37.08807078,37.37221879,Southeast
GIRESUN,129,760,3924,432,5116,5245,TUR028,40.57751344,38.55881116,Ankara
GUMUSHANE,70,130,1778,223,2131,2201,TUR029,40.34682037,39.38388216,Ankara
HAKKARI,5763,6,5,0,11,5774,TUR030,37.45875075,44.06561256,Van
HATAY,443477,22,342,38,402,443879,TUR031,36.42750767,36.25414642,Southeast
IGDIR,84,23,112,14,149,233,TUR076,39.89424048,43.98377988,Ankara
ISPARTA,7159,702,2130,4549,7381,14540,TUR032,37.92458326,30.94336761,Ankara
ISTANBUL,563133,1845,268,705,2818,565951,TUR034,41.15587075,28.81410898,Marmara
IZMIR,137624,74,32,105,211,137835,TUR035,38.48331308,27.29352937,Izmir
KAHRAMANMARAS,92387,220,162,21,403,92790,TUR046,37.89088918,36.95044771,Southeast
KARABUK,578,3030,4238,529,7797,8375,TUR078,41.18609379,32.66037236,Ankara
KARAMAN,518,709,6236,418,7363,7881,TUR070,37.09043393,33.26077987,Ankara
KARS,146,3,639,11,653,799,TUR036,40.45549844,43.06272121,Ankara
KASTAMONU,1107,2204,4702,953,7859,8966,TUR037,41.48236578,33.70188909,Ankara
KAYSERI,74923,2323,2183,2113,6619,81542,TUR038,38.60813731,35.83331838,Ankara
KILIS,131302,4,0,15,19,131321,TUR079,36.80068203,37.12591002,Southeast
KIRIKKALE,1094,4049,4522,1285,9856,10950,TUR071,39.86347749,33.70723013,Ankara
KIRKLARELI,2450,1,59,9,69,2519,TUR039,41.6778707,27.44130576,Marmara
KIRSEHIR,949,5664,4325,489,10478,11427,TUR040,39.31446534,34.11934487,Ankara
KOCAELI,46686,15,53,32,100,46786,TUR041,40.84854683,29.88486802,Marmara
KONYA,97018,2169,8579,1213,11961,108979,TUR042,38.03738858,32.60166925,Ankara
KUTAHYA,627,4849,3377,1518,9744,10371,TUR043,39.29808433,29.58416794,Ankara
MALATYA,26468,22,892,33,947,27415,TUR044,38.5185676,38.12829346,Southeast
MANISA,12212,1556,2472,2212,6240,18452,TUR045,38.76215527,28.12774434,Ankara
MARDIN,92417,1755,8,6,1769,94186,TUR047,37.34308652,40.83328728,Southeast
MERSIN,209150,535,243,834,1612,210762,TUR033,36.70008202,33.84288031,Ankara
MUGLA,13439,9,3,5,17,13456,TUR048,37.00723757,28.49662472,Izmir
MUS,1266,0,24,0,24,1290,TUR049,38.99759975,41.85260422,Van
NEVSEHIR,8903,1190,7770,1722,10682,19585,TUR050,38.79173485,34.70368444,Ankara
NIGDE,3720,793,1258,749,2800,6520,TUR051,37.91080737,34.68288651,Ankara
ORDU,592,4470,522,360,5352,5944,TUR052,40.79091704,37.49372082,Ankara
OSMANIYE,50745,0,0,4,4,50749,TUR080,37.27665599,36.26031228,Southeast
RIZE,787,0,5,0,5,792,TUR053,40.93361955,40.86493584,Ankara
SAKARYA,14001,10960,4841,1058,16859,30860,TUR054,40.7438319,30.50354112,Marmara
SAMSUN,3658,15140,763,223,16126,19784,TUR055,41.21976266,35.98735602,Ankara
SANLIURFA,473952,227,35,27,289,474241,TUR063,37.24565355,39.09984286,Southeast
SIIRT,3808,23,73,11,107,3915,TUR056,37.90439988,42.12607141,Van
SINOP,104,2197,3076,340,5613,5717,TUR057,41.62525189,34.87100701,Ankara
SIRNAK,14932,42,2,4,48,14980,TUR073,37.45468648,42.51843335,Van
SIVAS,3423,289,5934,704,6927,10350,TUR058,39.55940875,37.29289077,Ankara
TEKIRDAG,10578,3,12,4,19,10597,TUR059,41.08340445,27.38611865,Marmara
TOKAT,915,2640,7848,192,10680,11595,TUR060,40.36548977,36.56323595,Ankara
TRABZON,2532,809,6892,923,8624,11156,TUR061,40.80498689,39.8174003,Ankara
TUNCELI,44,0,1,0,1,45,TUR062,39.19568094,39.49235462,Ankara
USAK,2150,1520,5413,1975,8908,11058,TUR064,38.57707151,29.36172395,Ankara
VAN,1784,173,753,1274,2200,3984,TUR065,38.47014886,43.58518501,Van
YALOVA,3313,4114,4087,2378,10579,13892,TUR077,40.59545963,29.18805974,Marmara
YOZGAT,3051,4898,1365,323,6586,9637,TUR066,39.65433484,35.24768747,Ankara
ZONGULDAK,324,2005,2796,1036,5837,6161,TUR067,41.26006286,31.8450589,Ankara
