Country,Status,Process,Age Group,Sex,POC
Other Nationalities,ASR,A,0 - 4 years,Female,1
Other Nationalities,ASR,A,0 - 4 years,Male,2
Other Nationalities,REF,A,0 - 4 years,Female,4
Other Nationalities,REF,A,0 - 4 years,Male,3
Other Nationalities,REF,A,12 - 17 years,Female,11
Other Nationalities,REF,A,12 - 17 years,Male,14
Other Nationalities,REF,A,18 - 59 years,Female,34
Other Nationalities,REF,A,18 - 59 years,Male,34
Other Nationalities,REF,A,5 - 11 years,Female,9
Other Nationalities,REF,A,5 - 11 years,Male,13
Other Nationalities,REF,A,60+ years,Female,3
Other Nationalities,REF,A,60+ years,Male,2
Other Nationalities,ASR,A,18 - 59 years,Male,1
Other Nationalities,ASR,A,0 - 4 years,Female,2
Other Nationalities,ASR,A,0 - 4 years,Male,3
Other Nationalities,ASR,A,12 - 17 years,Female,1
Other Nationalities,ASR,A,12 - 17 years,Male,1
Other Nationalities,ASR,A,18 - 59 years,Female,16
Other Nationalities,ASR,A,18 - 59 years,Male,16
Other Nationalities,ASR,A,5 - 11 years,Female,6
Other Nationalities,ASR,A,5 - 11 years,Male,1
Other Nationalities,ASR,A,0 - 4 years,Female,3
Other Nationalities,ASR,A,0 - 4 years,Male,2
Other Nationalities,ASR,A,12 - 17 years,Female,4
Other Nationalities,ASR,A,12 - 17 years,Male,3
Other Nationalities,ASR,A,18 - 59 years,Female,56
Other Nationalities,ASR,A,18 - 59 years,Male,31
Other Nationalities,ASR,A,5 - 11 years,Female,3
Other Nationalities,ASR,A,5 - 11 years,Male,9
Other Nationalities,ASR,A,60+ years,Male,1
Other Nationalities,REF,A,0 - 4 years,Female,4
Other Nationalities,REF,A,0 - 4 years,Male,3
Other Nationalities,REF,A,12 - 17 years,Female,11
Other Nationalities,REF,A,12 - 17 years,Male,10
Other Nationalities,REF,A,18 - 59 years,Female,50
Other Nationalities,REF,A,18 - 59 years,Male,54
Other Nationalities,REF,A,5 - 11 years,Female,20
Other Nationalities,REF,A,5 - 11 years,Male,31
Other Nationalities,REF,A,60+ years,Female,5
Other Nationalities,REF,A,60+ years,Male,2
Other Nationalities,ASR,A,0 - 4 years,Female,9
Other Nationalities,ASR,A,0 - 4 years,Male,20
Other Nationalities,ASR,A,12 - 17 years,Female,7
Other Nationalities,ASR,A,12 - 17 years,Male,5
Other Nationalities,ASR,A,18 - 59 years,Female,56
Other Nationalities,ASR,A,18 - 59 years,Male,94
Other Nationalities,ASR,A,5 - 11 years,Female,24
Other Nationalities,ASR,A,5 - 11 years,Male,28
Other Nationalities,REF,A,12 - 17 years,Female,1
Other Nationalities,REF,A,12 - 17 years,Male,1
Other Nationalities,REF,A,18 - 59 years,Female,2
Other Nationalities,REF,A,18 - 59 years,Male,1
Other Nationalities,REF,A,5 - 11 years,Male,3
Other Nationalities,ASR,A,0 - 4 years,Female,6
Other Nationalities,ASR,A,0 - 4 years,Male,10
Other Nationalities,ASR,A,12 - 17 years,Female,2
Other Nationalities,ASR,A,12 - 17 years,Male,2
Other Nationalities,ASR,A,18 - 59 years,Female,442
Other Nationalities,ASR,A,18 - 59 years,Male,128
Other Nationalities,ASR,A,5 - 11 years,Female,1
Other Nationalities,ASR,A,5 - 11 years,Male,6
Other Nationalities,ASR,A,60+ years,Female,1
Other Nationalities,ASR,H,18 - 59 years,Male,1
Other Nationalities,REF,A,18 - 59 years,Female,2
Other Nationalities,REF,A,18 - 59 years,Male,4
Other Nationalities,ASR,A,0 - 4 years,Female,22
Other Nationalities,ASR,A,0 - 4 years,Male,28
Other Nationalities,ASR,A,12 - 17 years,Female,21
Other Nationalities,ASR,A,12 - 17 years,Male,29
Other Nationalities,ASR,A,18 - 59 years,Female,315
Other Nationalities,ASR,A,18 - 59 years,Male,135
Other Nationalities,ASR,A,5 - 11 years,Female,37
Other Nationalities,ASR,A,5 - 11 years,Male,37
Other Nationalities,ASR,A,60+ years,Female,3
Other Nationalities,REF,A,0 - 4 years,Male,2
Other Nationalities,REF,A,12 - 17 years,Female,4
Other Nationalities,REF,A,12 - 17 years,Male,3
Other Nationalities,REF,A,18 - 59 years,Female,18
Other Nationalities,REF,A,18 - 59 years,Male,15
Other Nationalities,REF,A,5 - 11 years,Female,3
Other Nationalities,REF,A,5 - 11 years,Male,3
Other Nationalities,ASR,A,12 - 17 years,Female,1
Other Nationalities,ASR,A,18 - 59 years,Female,2
Other Nationalities,ASR,A,18 - 59 years,Male,1
Other Nationalities,REF,A,18 - 59 years,Female,1
Other Nationalities,ASR,A,18 - 59 years,Male,1
Other Nationalities,ASR,A,0 - 4 years,Female,10
Other Nationalities,ASR,A,0 - 4 years,Male,17
Other Nationalities,ASR,A,12 - 17 years,Female,2
Other Nationalities,ASR,A,12 - 17 years,Male,10
Other Nationalities,ASR,A,18 - 59 years,Female,40
Other Nationalities,ASR,A,18 - 59 years,Male,79
Other Nationalities,ASR,A,5 - 11 years,Female,10
Other Nationalities,ASR,A,5 - 11 years,Male,15
Other Nationalities,ASR,A,60+ years,Female,1
Other Nationalities,ASR,A,60+ years,Male,3
Other Nationalities,REF,A,18 - 59 years,Female,2
Other Nationalities,REF,A,18 - 59 years,Male,10
Other Nationalities,REF,A,60+ years,Male,1
Other Nationalities,ASR,A,12 - 17 years,Female,1
Other Nationalities,ASR,A,0 - 4 years,Female,2
Other Nationalities,ASR,A,18 - 59 years,Female,1
Other Nationalities,ASR,A,5 - 11 years,Female,1
Other Nationalities,ASR,A,18 - 59 years,Female,6
Other Nationalities,REF,A,0 - 4 years,Male,1
Other Nationalities,REF,A,18 - 59 years,Female,3
Other Nationalities,REF,A,5 - 11 years,Female,1
Other Nationalities,ASR,A,18 - 59 years,Female,1
Other Nationalities,REF,A,18 - 59 years,Female,2
Other Nationalities,REF,A,5 - 11 years,Male,2
Other Nationalities,ASR,A,18 - 59 years,Male,1
Other Nationalities,ASR,A,12 - 17 years,Male,1
Other Nationalities,ASR,A,18 - 59 years,Female,2
Other Nationalities,ASR,A,18 - 59 years,Male,1
Other Nationalities,ASR,A,5 - 11 years,Female,1
Other Nationalities,ASR,A,5 - 11 years,Male,2
Other Nationalities,REF,A,12 - 17 years,Male,1
Other Nationalities,REF,A,18 - 59 years,Female,3
Other Nationalities,REF,A,18 - 59 years,Male,1
Other Nationalities,ASR,A,18 - 59 years,Female,1
Other Nationalities,REF,A,18 - 59 years,Female,1
Other Nationalities,ASR,A,18 - 59 years,Female,2
Other Nationalities,ASR,A,18 - 59 years,Male,3
Other Nationalities,ASR,A,0 - 4 years,Female,4
Other Nationalities,ASR,A,0 - 4 years,Male,2
Other Nationalities,ASR,A,12 - 17 years,Female,1
Other Nationalities,ASR,A,18 - 59 years,Female,61
Other Nationalities,ASR,A,18 - 59 years,Male,17
Other Nationalities,REF,A,0 - 4 years,Female,3
Other Nationalities,REF,A,0 - 4 years,Male,3
Other Nationalities,REF,A,12 - 17 years,Female,3
Other Nationalities,REF,A,12 - 17 years,Male,1
Other Nationalities,REF,A,18 - 59 years,Female,31
Other Nationalities,REF,A,18 - 59 years,Male,26
Other Nationalities,REF,A,5 - 11 years,Female,5
Other Nationalities,REF,A,5 - 11 years,Male,5
Other Nationalities,ASR,A,0 - 4 years,Female,2
Other Nationalities,ASR,A,0 - 4 years,Male,2
Other Nationalities,ASR,A,18 - 59 years,Female,116
Other Nationalities,ASR,A,18 - 59 years,Male,76
Other Nationalities,ASR,A,5 - 11 years,Female,3
Other Nationalities,ASR,A,5 - 11 years,Male,1
Other Nationalities,ASR,A,60+ years,Male,1
Other Nationalities,REF,A,0 - 4 years,Female,6
Other Nationalities,REF,A,0 - 4 years,Male,3
Other Nationalities,REF,A,12 - 17 years,Female,6
Other Nationalities,REF,A,12 - 17 years,Male,4
Other Nationalities,REF,A,18 - 59 years,Female,37
Other Nationalities,REF,A,18 - 59 years,Male,19
Other Nationalities,REF,A,5 - 11 years,Female,6
Other Nationalities,REF,A,5 - 11 years,Male,9
Other Nationalities,REF,A,60+ years,Female,2
Other Nationalities,REF,H,18 - 59 years,Female,1
Other Nationalities,ASR,A,18 - 59 years,Female,5
Other Nationalities,REF,A,18 - 59 years,Female,1
Somalia,ASR,A,0 - 4 years,Female,27
Somalia,ASR,A,0 - 4 years,Male,35
Somalia,ASR,A,12 - 17 years,Female,52
Somalia,ASR,A,12 - 17 years,Male,45
Somalia,ASR,A,18 - 59 years,Female,699
Somalia,ASR,A,18 - 59 years,Male,720
Somalia,ASR,A,5 - 11 years,Female,58
Somalia,ASR,A,5 - 11 years,Male,53
Somalia,ASR,A,60+ years,Female,16
Somalia,ASR,A,60+ years,Male,19
Somalia,ASR,H,0 - 4 years,Male,1
Somalia,ASR,H,18 - 59 years,Female,1
Somalia,REF,A,0 - 4 years,Female,58
Somalia,REF,A,0 - 4 years,Male,62
Somalia,REF,A,12 - 17 years,Female,156
Somalia,REF,A,12 - 17 years,Male,166
Somalia,REF,A,18 - 59 years,Female,750
Somalia,REF,A,18 - 59 years,Male,633
Somalia,REF,A,5 - 11 years,Female,140
Somalia,REF,A,5 - 11 years,Male,181
Somalia,REF,A,60+ years,Female,36
Somalia,REF,A,60+ years,Male,26
Other Nationalities,ASR,A,18 - 59 years,Female,1
Other Nationalities,ASR,A,18 - 59 years,Male,2
Other Nationalities,REF,A,0 - 4 years,Male,1
Other Nationalities,REF,A,12 - 17 years,Male,1
Other Nationalities,REF,A,18 - 59 years,Female,1
Other Nationalities,REF,A,18 - 59 years,Male,1
Other Nationalities,ASR,A,0 - 4 years,Female,3
Other Nationalities,ASR,A,0 - 4 years,Male,4
Other Nationalities,ASR,A,12 - 17 years,Female,1
Other Nationalities,ASR,A,12 - 17 years,Male,2
Other Nationalities,ASR,A,18 - 59 years,Female,18
Other Nationalities,ASR,A,18 - 59 years,Male,44
Other Nationalities,ASR,A,5 - 11 years,Female,5
Other Nationalities,ASR,A,5 - 11 years,Male,10
Other Nationalities,ASR,A,60+ years,Male,2
Other Nationalities,REF,A,0 - 4 years,Female,16
Other Nationalities,REF,A,0 - 4 years,Male,18
Other Nationalities,REF,A,12 - 17 years,Female,15
Other Nationalities,REF,A,12 - 17 years,Male,11
Other Nationalities,REF,A,18 - 59 years,Female,52
Other Nationalities,REF,A,18 - 59 years,Male,126
Other Nationalities,REF,A,5 - 11 years,Female,17
Other Nationalities,REF,A,5 - 11 years,Male,15
Other Nationalities,REF,A,60+ years,Male,4
Other Nationalities,ASR,A,0 - 4 years,Female,6
Other Nationalities,ASR,A,0 - 4 years,Male,9
Other Nationalities,ASR,A,18 - 59 years,Female,429
Other Nationalities,ASR,A,18 - 59 years,Male,108
Other Nationalities,ASR,A,5 - 11 years,Female,2
Other Nationalities,REF,A,0 - 4 years,Female,2
Other Nationalities,REF,A,0 - 4 years,Male,2
Other Nationalities,REF,A,18 - 59 years,Female,15
Other Nationalities,REF,A,18 - 59 years,Male,6
Other Nationalities,ASR,A,12 - 17 years,Male,2
Other Nationalities,ASR,A,18 - 59 years,Female,6
Other Nationalities,ASR,A,18 - 59 years,Male,18
Other Nationalities,REF,A,18 - 59 years,Female,4
Other Nationalities,REF,A,18 - 59 years,Male,1
Other Nationalities,ASR,A,0 - 4 years,Female,1
Other Nationalities,ASR,A,0 - 4 years,Male,3
Other Nationalities,ASR,A,12 - 17 years,Female,5
Other Nationalities,ASR,A,12 - 17 years,Male,4
Other Nationalities,ASR,A,18 - 59 years,Female,37
Other Nationalities,ASR,A,18 - 59 years,Male,56
Other Nationalities,ASR,A,5 - 11 years,Female,1
Other Nationalities,ASR,A,5 - 11 years,Male,2
Other Nationalities,REF,A,0 - 4 years,Female,1
Other Nationalities,REF,A,0 - 4 years,Male,1
Other Nationalities,REF,A,18 - 59 years,Female,2
Other Nationalities,REF,A,18 - 59 years,Male,2
Other Nationalities,ASR,A,0 - 4 years,Female,4
Other Nationalities,ASR,A,0 - 4 years,Male,2
Other Nationalities,ASR,A,12 - 17 years,Male,3
Other Nationalities,ASR,A,18 - 59 years,Female,25
Other Nationalities,ASR,A,18 - 59 years,Male,75
Other Nationalities,ASR,A,5 - 11 years,Female,1
Other Nationalities,ASR,A,60+ years,Male,1
Other Nationalities,REF,A,0 - 4 years,Female,1
Other Nationalities,REF,A,0 - 4 years,Male,4
Other Nationalities,REF,A,12 - 17 years,Female,3
Other Nationalities,REF,A,12 - 17 years,Male,1
Other Nationalities,REF,A,18 - 59 years,Female,19
Other Nationalities,REF,A,18 - 59 years,Male,20
Other Nationalities,REF,A,5 - 11 years,Female,3
Other Nationalities,REF,A,5 - 11 years,Male,2
Other Nationalities,REF,A,60+ years,Female,2
Other Nationalities,ASR,A,18 - 59 years,Female,4
Other Nationalities,ASR,A,18 - 59 years,Female,1
Other Nationalities,ASR,A,18 - 59 years,Male,1
Other Nationalities,ASR,A,18 - 59 years,Female,1
Other Nationalities,ASR,A,5 - 11 years,Female,1
Iraq,ASR,A,0 - 4 years,Female,4974
Iraq,ASR,A,0 - 4 years,Male,5269
Iraq,ASR,A,12 - 17 years,Female,5344
Iraq,ASR,A,12 - 17 years,Male,6386
Iraq,ASR,A,18 - 59 years,Female,22830
Iraq,ASR,A,18 - 59 years,Male,34697
Iraq,ASR,A,18 - 59 years,Unknown,1
Iraq,ASR,A,5 - 11 years,Female,9104
Iraq,ASR,A,5 - 11 years,Male,9853
Iraq,ASR,A,60+ years,Female,1464
Iraq,ASR,A,60+ years,Male,1537
Iraq,ASR,H,0 - 4 years,Male,1
Iraq,ASR,H,12 - 17 years,Female,2
Iraq,ASR,H,12 - 17 years,Male,2
Iraq,ASR,H,18 - 59 years,Female,3
Iraq,ASR,H,18 - 59 years,Male,9
Iraq,ASR,H,5 - 11 years,Female,3
Iraq,ASR,H,5 - 11 years,Male,4
Iraq,REF,A,0 - 4 years,Female,1305
Iraq,REF,A,0 - 4 years,Male,1390
Iraq,REF,A,12 - 17 years,Female,1966
Iraq,REF,A,12 - 17 years,Male,2261
Iraq,REF,A,18 - 59 years,Female,8639
Iraq,REF,A,18 - 59 years,Male,10619
Iraq,REF,A,5 - 11 years,Female,2942
Iraq,REF,A,5 - 11 years,Male,3139
Iraq,REF,A,60+ years,Female,889
Iraq,REF,A,60+ years,Male,790
Iraq,REF,H,0 - 4 years,Female,1
Iraq,REF,H,0 - 4 years,Male,5
Iraq,REF,H,12 - 17 years,Female,4
Iraq,REF,H,12 - 17 years,Male,2
Iraq,REF,H,18 - 59 years,Female,12
Iraq,REF,H,18 - 59 years,Male,14
Iraq,REF,H,5 - 11 years,Female,7
Iraq,REF,H,5 - 11 years,Male,4
Iraq,REF,H,60+ years,Male,2
Other Nationalities,ASR,A,18 - 59 years,Female,1
Other Nationalities,ASR,A,18 - 59 years,Male,1
Other Nationalities,ASR,A,0 - 4 years,Female,3
Other Nationalities,ASR,A,0 - 4 years,Male,1
Other Nationalities,ASR,A,18 - 59 years,Female,32
Other Nationalities,ASR,A,18 - 59 years,Male,9
Other Nationalities,ASR,A,5 - 11 years,Male,3
Other Nationalities,ASR,A,60+ years,Female,2
Other Nationalities,ASR,A,60+ years,Male,2
Other Nationalities,REF,A,18 - 59 years,Female,28
Other Nationalities,REF,A,18 - 59 years,Male,1
Other Nationalities,REF,A,5 - 11 years,Female,1
Other Nationalities,REF,A,60+ years,Female,2
Other Nationalities,ASR,A,0 - 4 years,Female,1
Other Nationalities,ASR,A,18 - 59 years,Female,1
Other Nationalities,ASR,A,18 - 59 years,Male,1
Other Nationalities,ASR,A,5 - 11 years,Female,1
Other Nationalities,ASR,A,0 - 4 years,Female,1
Other Nationalities,ASR,A,12 - 17 years,Female,1
Other Nationalities,ASR,A,12 - 17 years,Male,1
Other Nationalities,ASR,A,18 - 59 years,Female,12
Other Nationalities,ASR,A,18 - 59 years,Male,16
Other Nationalities,ASR,A,5 - 11 years,Male,3
Other Nationalities,REF,A,12 - 17 years,Female,1
Other Nationalities,REF,A,12 - 17 years,Male,1
Other Nationalities,REF,A,18 - 59 years,Female,6
Other Nationalities,REF,A,18 - 59 years,Male,4
Other Nationalities,REF,A,5 - 11 years,Female,1
Other Nationalities,REF,A,60+ years,Female,1
Other Nationalities,ASR,A,0 - 4 years,Female,24
Other Nationalities,ASR,A,0 - 4 years,Male,18
Other Nationalities,ASR,A,12 - 17 years,Female,36
Other Nationalities,ASR,A,12 - 17 years,Male,43
Other Nationalities,ASR,A,18 - 59 years,Female,169
Other Nationalities,ASR,A,18 - 59 years,Male,267
Other Nationalities,ASR,A,5 - 11 years,Female,41
Other Nationalities,ASR,A,5 - 11 years,Male,58
Other Nationalities,ASR,A,60+ years,Female,19
Other Nationalities,ASR,A,60+ years,Male,25
Other Nationalities,REF,A,0 - 4 years,Female,36
Other Nationalities,REF,A,0 - 4 years,Male,36
Other Nationalities,REF,A,12 - 17 years,Female,50
Other Nationalities,REF,A,12 - 17 years,Male,50
Other Nationalities,REF,A,18 - 59 years,Female,328
Other Nationalities,REF,A,18 - 59 years,Male,340
Other Nationalities,REF,A,5 - 11 years,Female,60
Other Nationalities,REF,A,5 - 11 years,Male,82
Other Nationalities,REF,A,60+ years,Female,57
Other Nationalities,REF,A,60+ years,Male,65
Other Nationalities,ASR,A,18 - 59 years,Male,1
Other Nationalities,REF,A,18 - 59 years,Female,4
Other Nationalities,ASR,A,0 - 4 years,Female,2
Other Nationalities,ASR,A,0 - 4 years,Male,1
Other Nationalities,ASR,A,12 - 17 years,Male,1
Other Nationalities,ASR,A,18 - 59 years,Female,3
